"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Ho Chi Minh, Viet Nam",Viet Nam,Male,College degree,Udemy,"IT, BPO, and Business Services",Student/ New grad/ Career Break,_,None,,None,.,NONE,/,NONE,not applicable,not applicable, _,NONE,.,/,NONE,. , ,_,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL","No, I do not use AI currently",-,laptop,"No, I just found out now.","No, I just browsed through.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, AWS AI/ML, Data Analytics Philippines, Data and Analytics Manila, Datasense Philippines, DevOps Philippines, DEVCON Community Group, Java User Group Philippines, Power BI Philippines UG, Power BI Users Meetup, Project SPARTA, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",,/,. ,20
"Quezon City, Philippines",Philippines,Male,Secondary school student,"Datacamp, LeetCode, Zoomcamp, Official documentations",Retail,Professional,Work city different from residence,Quezon City,,Full-time,100% onsite,Academic,Developer,30+,,not applicable,,,Power BI,,,,,SQL Server,"Excel, OneDrive, Trello, MS Teams, Slack","Python, SQL",Chatgpt,NONE,Vm,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Python Philippines,Upskill / Skill acquisition,"Answer surveys, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training",,Jobstreet ,Local employer,25
Laguna - San Pedro,Philippines,Male,Other - specify,"Datacamp, Udemy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Student/ New grad/ Career Break,., ,,., _,not applicable,na,-,not applicable,/,. ,None,na,.,. ,None, ,None,"Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord",Python,Chatgpt,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Science Philippines,"Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",help me to upskill my knowledge and land a job,none,Local employer,48
"Cavite, Philippines",Philippines,Male,College degree,"Datacamp, Google Cloudskills Boost",Government,Professional,Work city same as residence,Davao City,"35,001 to 45,000",Other - specify,100% onsite,Academic,Developer,1 - Just me,none, ,Google Sheet,Don't know,Power BI,Don't know,,,NONE,. ,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","Python, SQL",Chatgpt, _,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Datasense Philippines","Continued learning, Network","Answer surveys, Co-training/ Training","None so far, just to continue this kind of community. I'm very happy to be part of this group.",Not working,Multinational employer,51
"Davao City, Philippines",Philippines,Male,College degree,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Bais & Bayawan City,"25,001 to 35,000",Contract fixed timeline,Hybrid,Management,"Data Analyst, Data Scientist, Business Analyst",4 to 5,CDFTP and batch programming,Pandas,Azure Synapse,,"Looker, Power BI",Power Query,.,-,"Amazon Web Services (AWS), Databricks",Don't know,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python","Chatgpt, Claude, Gemini",.,laptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines","Continued learning, Upskill / Skill acquisition",Answer surveys,. ,"LinkedIn, Upwork, OnlineJobs.ph",Local employer,20
"Taguig, Philippines",Philippines,Male,Other - specify,"Datacamp, LinkedIn Learning, Pluralsight, W3Schools",Telecommunication,Career shifter,Work city different from residence,Taguig City,"15,001 to 25,000",Full-time,Hybrid,Management,"Data Analyst, mostly dealing with data quality issues, being the middleman between Finance and tech, but no technical skills yet",30+,PHU,,"None, ",MS fabric,Don't know,not applicable,Great Expectations,Dataworld,/,Oracle Database,"Google sheets, Excel, Google Drive, Zoom, Google Meet","DAX (Power BI), SQL",,,laptop,"No, I just found out now.","No, I just browsed through.","Azure User Group Manila Meetup, Community: SPARTA PH, Data Analytics Philippines, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation","Career advancement, Continued learning, Upskill / Skill acquisition",Volunteer for group initiatives,more activity,My network  - people I know,Multinational employer,27
"Makati, Philippines",Philippines,LGBTQ+,Secondary school student,"Coursera, Datacamp, Kaggle Online course, W3Schools",Banking / Finance / Insurance,Professional,Work city different from residence,Pasig City,"35,001 to 45,000",Part-time,100% onsite,Data Analyst,"Management, Data Engineer, Business Analyst, Developer",2 to 3,Aws Glue,"Pandas, AWS Athena",,,Power BI,,,,Microsoft Azure,NONE,"Google sheets, Excel, OneDrive, MS Teams","Python, SQL","Chatgpt, Databricks assistant", _,laptop,"No, I just found out now.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Eskwelabs Data Science Aral-Aral Group, Power Apps Pilipinas Community, Project SPARTA","Decision to shift, Network, Other - specify","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",none,LinkedIn,Multinational employer,26
"Caloocan, Philippines",Philippines,Prefer not to say,College degree,"edX, LinkedIn Learning, Pluralsight, Udemy","IT, BPO, and Business Services",Career shifter,Work city different from residence,Taguig City,"65,001 to 75,000",Full-time,Mostly work from home/ fully remote,Management,"Data Analyst, mostly dealing with data quality issues, being the middleman between Finance and tech, but no technical skills yet",2 to 3,Don't know,Don't know,Don't know,Don't know,Looker,na, _,None,"Amazon Web Services (AWS), Snowflake","Apache Spark, PostgreSQL, Elasticsearch, Splunk","Google sheets, Excel, OneDrive, Zoom, MS Teams, Google Meet","Python, SQL","Chatgpt, Github copilot",Na,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Mentor",.,Jobstreet,Multinational employer,33
"San Pablo City, Laguna",Philippines,Male,College degree,Not currently using any digital tools for learning,Biotechnology,Career shifter,Work city different from residence,Mandaluyong,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Data Engineer, Developer",2 to 3,,,"Snowflake, Vertica, MSSQL",Azure Databricks,Power BI,,,,,/,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet","DAX (Power BI), Python, SQL","Chatgpt, Claude","Kaggle Notebooks, Colab Notebooks",workstation,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",NONE,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Regularly post content",,LinkedIn,Student ,20
"Lucena City, Philippines",Philippines,Female,Secondary school student,"Codecademy, Datacamp, Freecodecamp",Not working,Career shifter,Work city same as residence,Quezon City,,Full-time,Hybrid,Digital Marketing ,Digital Marketing ,1 - Just me,,,"Don't know, None","Don't know, None",. ,Don't know,,,,,"Google sheets, Excel, Google Drive, Google Meet",Python,Chatgpt,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, AIM-Master of Science in Data Science, Data and Analytics Manila, Data Ethics PH, Data Science Manila, Data Science Philippines, DEVCON Community Group, DEVCON Philippines, PizzaPy - Cebu Python Users Group, Programmers,Developers, Project SPARTA","Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,.,LinkedIn,Local employer,24
"San Pablo City, Laguna",Philippines,Male,College degree,"Coursera, Datacamp",Manufacturing,Career shifter,Work city different from residence,Muntinlupa City,"15,001 to 25,000",Internship,"Hybrid - Priority at Home, but would come to site if needed",L2 Technical Support Engineer,Data Engineer,4 to 5,,,Big Query,Airflow,"Power BI, Excel", _,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake, Databricks",,"Google sheets, Excel",na,Chatgpt,"Kaggle Notebooks, IBM Watson Studio",laptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Data Science Manila, Power BI Philippines UG, R User Group - Philippines","Decision to shift, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",.,"Indeed, Jobstreet",Multinational employer,20
Malabon city,Philippines,Male,Secondary school student,Datacamp,"IT, BPO, and Business Services",Student/ New grad/ Career Break,na,. ,, _,/,None,_,-,/,none, ,not applicable,-, ,,,-,_,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack",na,Chatgpt,na,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",Nothing at this poibt, ,Multinational employer,34
Valenzuela,Philippines,Male,College degree,"Datacamp, Freecodecamp, Google Analytics, Youtube bootcamp",Logistics,Professional,Work city same as residence,Ortigas ,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Workforce Analyst,"Management, Business Analyst",11 to 30,Custom Python,Pandas,Big Query,,Looker,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, Google Meet","Appscript (Google), Python, SQL",Chatgpt,"Kaggle Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Project SPARTA, Python Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",na,LinkedIn,Multinational employer,26
"Quezon City, Philippines",Philippines,Female,College degree,"Udemy, W3Schools",Not working,Career shifter,-,"Mauban, Quezon","55,001 to 65,000",Internship,NONE,Data Analyst,"Data Analyst, Data Scientist, Analytics Engineer, Developer",30+,"Don't know, None",Microsoft Power Apps,,,"None, to be implemented in the future (Power BI)",Postgre,Elementary,Don't know,Sharepoint,,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Python,Chatgpt, _,laptop,"No, I just found out now.",. ,Data Analytics Philippines,Continued learning,Answer surveys,_,My network  - people I know,Multinational employer,23
Singapore,Singapore,Female,College degree,"Codecademy, Coursera, LinkedIn Learning",Utility,Career shifter,Work city different from residence,Taguig city,"45,001 to 55, 000",Full-time,Hybrid,Business Analyst,Data Analyst,30+,Don't know,,,,,,,,Microsoft Azure,"PostgreSQL, SAP HANA","Google sheets, Excel, MS Teams",SQL,Claude,Notiob,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines",Career advancement,Volunteer to speak in events,Scheduled huddles,"LinkedIn, Jobstree",Local employer,31
"Manila, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,Mining,Freelance,Work city same as residence,OZAMIZ CITY,"65,001 to 75,000",None,Hybrid,Data Analyst,Business Analyst,6 to 10,,,,,Power BI,I currently have no knowledge in this,Google sheet,N.A,IBM Cloud,,Excel,"Python, SQL","Chatgpt, Claude, Copilot, Gemini, Perplexity",Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,Establish Communication Channel with schedule,LinkedIn,Multinational employer,25
"Quezon City, Philippines",Philippines,Female,College degree,Khan Academy,Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break, _,not applicable,,-,not applicable,None, _,none,-,-,not applicable,. ,. , ,., ,.,_,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",not applicable,Chatgpt, _,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, DEVCON Community Group, DEVCON Philippines, Java User Group Philippines, Power BI Philippines UG","Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors", _,-,,16
"Binan City, Laguna ",Philippines,Male,Secondary school student,"AWS Cloud Certification, Datacamp, Youtube bootcamp",Not working,Freelance,Work city same as residence,Mabalacat City,"15,000 and below",Freelance,Mostly work from home/ fully remote,Data Engineer,"Data Engineer, Data Analyst, Developer",1 - Just me,NONE,Pandas,,,Power BI,,,AWS Glue Data Catalog,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), Python, SQL","Chatgpt, Gemini",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",/,"LinkedIn, My network  - people I know",Local employer,21
"Davao City, Philippines",Philippines,Male,College degree,"Coursera, Datacamp, Kaggle Online course, LinkedIn Learning, Real Python, Udemy",Not working,Career shifter,Work city same as residence,Davao City,"15,001 to 25,000",Other - specify,100% onsite,Data Analyst,Developer,1 - Just me,,Pandas,Don't know,Don't know,Power BI,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Google Meet","Python, R","Chatgpt, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Power BI Philippines UG, Python Philippines","Found this on LinkedIn, I rarely open Facebook","Answer surveys, Joint initiative with other groups, Resource for specific topic","So far, having different chat groups to cater to specific development needs is quintessential.","LinkedIn, OnlineJobs.ph",_,39
"calaca city, batangas, philippines",Philippines,Male,College degree,"Datacamp, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,not applicable,-,,none,/,-,None, _,. ,/,None,None,.,none,NONE,None,.,_,"Google sheets, Excel, Google Drive, Google Meet, Discord","DAX (Power BI), M language (Power Query)","Chatgpt, Gemini",_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",not applicable,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Mentor, Resource for specific topic, Co-training/ Training",Email branding visibility for instant notice , ,Unemployed,21
Pampanga,Philippines,Male,Master's degree,"Cisco, Khan Academy, Skillshare, Udemy, W3Schools, Zoomcamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,Angeles city,"45,001 to 55, 000",Full-time,100% onsite,Management,"Management, Business Analyst, Product Advocate, Developer, Academic",30+,,,,,"Looker, Tableau",,,dbt,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",MongoDB,"Google sheets, Excel, Google Drive, Jira","Python, R",Gemini,. ,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","[Manila] BIG DATA Tech Group, Community: SPARTA PH","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,-,FB,Local employer,39
Pampanga,Philippines,Male,College degree,"AWS Cloud Certification, Cisco, Coursera, edX, Freecodecamp, Udemy, Youtube bootcamp",Not working,Student/ New grad/ Career Break,-,-,,na,not applicable,none, ,NONE,,,. ,_,. ,NONE,.,NONE,none,. ,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Discord",. ,"Chatgpt, Copilot, Gemini", ,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, AWS AI/ML, AZUGMNL Azure User Group Manila, Azure User Group Manila Meetup, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, DEVCON Community Group, DEVCON Philippines, Digital Analytics Philippines, FTW Foundation, Java User Group Philippines, Power Apps Pilipinas Community, Power BI Philippines UG, Power BI Users Meetup, Project SPARTA, PyData Philippines, Python Philippines, R User Group - Philippines, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition",Answer surveys,weekly events or giveaways, _,,28
"Manila, Philippines",Philippines,Female,College degree,"Codecademy, Coursera, Datacamp, Freecodecamp, Khan Academy, Udemy, W3Schools","IT, BPO, and Business Services",Professional, _,Catbalogan City ,,Full-time,"Anywhere, as I'm not really being required to go onsite, but I do choose to go onsite during the latter half of my shifts because I wait for my partner to finish her shift - she works also in the same company, but her shift finishes 3hours after mine ends.",SAP ABAP Developer,Software Engineer,4 to 5,,,,,,I currently have no knowledge in this,Internal Pyspark Library,"Collibra, mostly data warehouses and inquiry tools built within my company, not really applicable elsewhere",Microsoft Azure,"MongoDB, PostgreSQL, Oracle Database","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL, Typescript","Chatgpt, Copilot, Gemini, Github copilot",Google Cloud Vertex AI Workbench,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Artificial Intelligence Philippines, DEVCON Community Group, DEVCON Philippines, PyData Philippines, Python Philippines",none,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",none,"LinkedIn, Upwork",not applicable,24
"Taguig, Philippines",Philippines,Male,College degree,Coursera,Tourism,Freelance,Work city same as residence,I work from home as a freelancer,"85,001 to 95,000",Freelance,Mostly work from home/ fully remote,Developer,Data Engineer,6 to 10,Aws Glue,"Pandas, Spark, Pyspark",AWS Redshift,Don't know,"Tableau, Amazon Quicksight",ACL,"dbt Expectations, Recce","Datahub, Dataworld",Amazon Web Services (AWS),PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, MS Teams","Python, SQL","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,Career advancement,Answer surveys,na,LinkedIn,Multinational employer,20
"Caloocan, Philippines",Philippines,Male,College degree,Youtube bootcamp,Government,Student/ New grad/ Career Break,not applicable,None,,-, ,not applicable,_,none,. , , _,NONE,not applicable,-,. ,-, _,not applicable,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",Javascript,"Chatgpt, Copilot",Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",. ,"Continued learning, Upskill / Skill acquisition","Answer surveys, Resource for specific topic",na,na,"local employer, au client",35
"Manila, Philippines",Philippines,Male,Secondary school student,"Coursera, YouTube tutorials",Not working,Student/ New grad/ Career Break,NONE,_,, ,NONE,.,not applicable,-,not applicable, ,none,. ,none,NONE,., ,-,na,"Excel, Google Drive, MS Teams, Discord, Visual Studio Code, Github, Draw.io, Jira",Python,Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Co-training/ Training,None. I think it's all good.,na,. ,24
Sydney,Australia,Female,College degree,W3Schools,Barangay Staff,Student/ New grad/ Career Break, ,None,,none, _,.,NONE,-,NONE, , _,None,None,-,none,_,None, ,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Power Apps Pilipinas Community,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",Connect with other members of the group,None,Multinational employer,25
"Baliuag City, Philippines",Philippines,Female,College degree,"Datacamp, Udemy, W3Schools",Recruitment Firm,Professional, _,"Baliuag City, Bulacan",,Full-time,Mostly work from home/ fully remote,Business Analyst,"Data Analyst, Business Analyst",6 to 10,"Don't know, None","Don't know, None","Don't know, None",,"Power BI, Excel",ACL,Stata and Pentaho Data Integration,,,"Don't know, None","Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Asana, Trello, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), SQL","Chatgpt, Copilot",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups","To have high engagement within the group, I think it would be good to have a weekly quizzes to know if they're absolutely learning and have monthly kamustahan & quick catch-up on what's going on within the data world.","LinkedIn, Indeed",Local employer,38
"Cebu City, Philippines",Philippines,Female,Secondary school student,"Datacamp, LinkedIn Learning, StrataScratch","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,,Contract fixed timeline,Hybrid,Data Analyst,"Management, Data Engineer, Business Analyst",6 to 10,,,_,None,Brandwatch,na,,na, ,,"Excel, MS Teams","DAX (Power BI), M language (Power Query), SQL",Chatgpt,/,laptop,"No, I just found out now.","Yes, I have used at least one resource.", _,"Career advancement, Continued learning","Answer surveys, Coordinate during events, Lead a study group, Co-training/ Training, Volunteer for group initiatives",_,"LinkedIn, My network  - people I know",Local employer,21
"Taytay, Philippines",Philippines,Female,College degree,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,NONE, _,, _,None,. ,.,not applicable,NONE,na,_,NONE,.,/,_,/, ,na,"Google Drive, Zoom, MS Teams, Google Meet, Discord",Python,"No, I do not use AI currently",No,Phone,"No, I just found out now.","No, I just browsed through.","Big Data Analytics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys, ,not applicable,Local employer,34
"Quezon City, Philippines",Philippines,Male,College degree,"Datacamp, Freecodecamp, Youtube bootcamp",Not working,Student/ New grad/ Career Break,.,. ,, ,/,None,none,None,_,.,_,., _,none, ,not applicable, ,None,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), DAX (Power BI), Javascript","Chatgpt, Gemini", ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Datasense Philippines,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",NONE,. ,Local employer,32
Bacoor City,Philippines,Male,College degree,"Google Analytics, Google Cloudskills Boost, Google Developers, Kaggle Online course, LeetCode, W3Schools",Healthcare,Professional,Work city different from residence,"Novi, Michigan","25,001 to 35,000",Full-time,Mostly work from home/ fully remote,A mix of Data Engineering and Analysis,"Data Engineer, Data Analyst, Data Scientist, Software Engineer",6 to 10,"Airbyte, Stitch","Pandas, dbt",Big Query,Don't know,Tableau,,,,Google Cloud Platform (GCP),MongoDB,"Google sheets, Excel, Google Drive, Monday.com, Zoom, Slack, Discord","Python, SQL","Chatgpt, Claude, Copilot, Github copilot",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",not applicable,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives","Every time there's an announcement, collate everything into one infographic with comprehensive descriptions and make the post periodic to make sure people who log in at different times see it","LinkedIn, Glassdoor",US Based employer,25
Malabon city,Philippines,Male,College degree,Datacamp,Currently Club volunteer,Professional,Work city different from residence,Makati City,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,QA Engineer ,Risk Analyst,2 to 3,NONE,Pandas,None,.,na,,Don't know,Don't know,Amazon Web Services (AWS),,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack",_,Chatgpt, _,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Datasense Philippines, R User Group - Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,,OnlineJobs.ph,None,25
"Negros Occidental, Philippines",Philippines,Male,College degree,Datacamp,Own Business/ Consultancy/Freelance,Professional,na,Santa Maria Bulacan,"a.100,001 to 125,000",Full-time,100% onsite,Management,"Management, Data Engineer, Data Analyst, Business Analyst, Product Advocate",1 - Just me,Google Sheets,Google Sheets,,,Google Sheets,,,,Google Cloud Platform (GCP),,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Monday.com, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL",Chatgpt,"Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook, Replit",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, FTW Foundation, Women Who Code Manila","Continued learning, Upskill / Skill acquisition",Answer surveys,_,not applicable,Multinational employer,26
"Makati, Philippines",Philippines,Prefer not to say,College degree,Just google,Own Business/ Consultancy/Freelance,Professional,Work city same as residence,Wfh. Makati,"25,001 to 35,000",Full-time,,Software Engineer,Software Engineer,6 to 10,none,Google's BigQuery,Big Query,Airflow,Looker,,,,Microsoft Azure,_,"Google sheets, Google Drive, Google Meet, Slack","Javascript, Python, SQL, Typescript, Golang",Claude,None,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",None,.,.,not applicable,Toptal,Multinational employer,41
"Manila, Philippines",Philippines,Male,,"Datacamp, LinkedIn Learning, MicrosoftLearn, Udemy",Instrumentation and Control,Career shifter,Work city different from residence,Taguig City,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Software Engineer,"Data Engineer, Analytics Engineer, Developer",6 to 10,Azure Data Factory,"Pandas, dbt, Spark",AWS Redshift,Don't know,Power BI,.,Google sheet,Open Metadata,"Microsoft Azure, Databricks","Oracle Database, mostly company-specific","Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Discord","M language (Power Query), Python, R","No, I do not use AI currently","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Data Science Philippines,"Career advancement, Decision to shift","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",/,My network  - people I know,. ,24
